seed,timesteps,eval_return_mean,eval_return_std,rnd_prediction_error,policy_entropy,visited_states,auto_stop,stopped
2,1000,60.4,13.52922762023021,0.002138981912332383,0.6906482216119766,993,False,False
2,2000,74.4,15.252540771950095,0.00021082611130623263,0.6750562495589256,1988,False,False
2,3000,73.6,22.068982758613952,0.00013647008924135663,0.6580636974871159,2976,False,False
2,4000,117.8,52.05919707410017,0.00013742705542426847,0.6420619346201419,3960,False,False
2,5000,106.8,34.405813462262444,0.00010605289738123247,0.622073995500803,4952,False,False
2,6000,225.6,85.82913258329015,0.0001643311584807634,0.6142947392463685,5938,False,False
2,7000,478.0,44.0,0.0001960273718141252,0.6128852144479752,6924,False,False
2,8000,490.8,18.400000000000002,0.00018576093696765384,0.6067158768773079,7917,False,False
2,9000,248.0,82.46453783293762,0.00020528627614839934,0.6033004330992698,8916,False,False
2,10000,418.6,108.9543023473603,0.0001640737371881187,0.5971963294446468,9916,False,False
2,11000,410.8,74.0037836870521,0.00013760769647683447,0.600242879897356,10906,False,False
2,12000,322.6,90.40929155789243,0.00010724601618585438,0.5909339185953141,11895,False,False
2,13000,226.8,116.10753636177111,0.00011936224856890476,0.5946547983884811,12885,False,False
2,14000,464.0,72.0,0.00011829196231974492,0.5884170456230641,13877,False,False
2,15000,500.0,0.0,0.00010380939911897258,0.5822367097139358,14874,False,False
2,16000,463.6,69.35301002840468,0.00011865283773477131,0.5741957851201296,15857,False,False
2,17000,474.8,50.400000000000006,9.605491037154934e-05,0.5732142438739538,16834,False,False
2,18000,464.0,72.0,9.373275230200306e-05,0.5761426049768925,17823,False,False
2,19000,407.4,113.46470816954495,0.00010637008075900667,0.5519563434123993,18812,False,False
2,20000,475.8,48.4,7.352486591776141e-05,0.56842948782444,19807,False,False
2,21000,332.2,146.1566283136006,8.040210597118858e-05,0.5665273591130972,20793,False,False
2,22000,500.0,0.0,8.499631130689522e-05,0.5724798453077674,21779,False,False
2,23000,475.0,50.0,0.00011224360519327092,0.5872307376265525,22776,False,False
2,24000,386.2,93.59145260118576,8.549837783402836e-05,0.5857664983123541,23771,False,False
2,25000,448.0,47.54787061478148,9.723447607802882e-05,0.5733778711408377,24768,False,False
2,26000,500.0,0.0,8.496755907913211e-05,0.5705908233970404,25755,False,False
2,27000,500.0,0.0,0.00011077288613705604,0.5834035151451826,26746,False,False
2,28000,417.2,101.7946953431268,6.657203080521867e-05,0.5652052175551653,27725,False,False
2,29000,475.6,48.8,5.874332886060074e-05,0.5784118845164776,28708,False,False
2,30000,484.4,25.624987804875143,6.982262606516088e-05,0.5497080949097872,29700,False,False
